NO,SCOPE,SEVERITY,DESCRIPTION,app,source_path
3,customer.bmwgroup.com,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
4,login.bmwusa.com,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
5,login.bmwusa.com,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
6,cocoapi.bmwgroup.com,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
7,cocoapi.bmwgroup.com,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
8,cocoapi.bmwgroup.us,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
9,cocoapi.bmwgroup.us,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
10,cocoapi.bmw.co.kr,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
11,cocoapi.bmw.co.kr,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
12,myprofile.bmw.com.cn,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
13,myprofile.bmw.com.cn,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
14,myprofile-hk.bmw.com.cn,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
15,myprofile-hk.bmw.com.cn,secure,Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256],Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/network_security.csv
1,mysubaru.com,high,Domain config is insecurely configured to permit clear text traffic to these domains in scope.,Subaru,/home/jovyan/work/SOEN 321/car_app_analysis/Subaru/network_security.csv
1,192.168.92.1                                                    localhost,high,Domain config is insecurely configured to permit clear text traffic to these domains in scope.,Tesla,/home/jovyan/work/SOEN 321/car_app_analysis/Tesla/network_security.csv
1,*,secure,Base config is configured to disallow clear text traffic to all domains.,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/network_security.csv
2,*,warning,Base config is configured to trust system certificates.,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/network_security.csv
3,platform.tme-atp.eu                                                    ctpa-oneapi.tceu-ctp-prd.toyotaconnectedeurope.io                                                    b2c-login.toyota-europe.com                                                    ctpa-oneapi.tceu-ctp-dev.toyotaconnectedeurope.dev                                                    b2c-login-dev.toyota-europe.com                                                    ctpa-oneapi.tceu-ctp-stg.toyotaconnectedeurope.dev                                                    b2c-login-stg.toyota-europe.com,secure,Domain config is securely configured to disallow clear text traffic to these domains in scope.,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/network_security.csv
4,platform.tme-atp.eu                                                    ctpa-oneapi.tceu-ctp-prd.toyotaconnectedeurope.io                                                    b2c-login.toyota-europe.com                                                    ctpa-oneapi.tceu-ctp-dev.toyotaconnectedeurope.dev                                                    b2c-login-dev.toyota-europe.com                                                    ctpa-oneapi.tceu-ctp-stg.toyotaconnectedeurope.dev                                                    b2c-login-stg.toyota-europe.com,secure,"Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: r/mIkG3eEpVdm+u/ko/cwxzOMo1bk4TyHIlByibiA5E= Digest: SHA-256,Pin: ++MBgDH5WGvL9Bcn5Be30cRcL0f5O+NyoXuWtQdX1aI= Digest: SHA-256]",Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/network_security.csv
